Depth,CALI,DT,GR,NPHI,DENPHI,RS,RT,SP
10271.0000,8.4488,94.9569,67.3713,27.8235,26.4658,2.7607,1.3830,0.2797
10271.5000,8.4406,96.5564,65.7214,26.6350,26.7805,2.2221,1.3917,0.3013
10272.0000,8.4597,98.2656,70.6757,26.7731,24.8942,1.6108,1.4004,0.3308
10272.5000,8.5873,99.3587,80.9991,28.3438,22.5539,1.1943,1.2788,0.3354
10273.0000,8.7149,97.9873,89.3298,31.5010,14.6002,1.1801,1.1567,0.3400
10273.5000,8.9130,96.6159,93.4839,35.7160,11.4351,1.1477,1.0823,0.3446
10274.0000,9.4132,95.2445,92.5251,36.9762,15.2479,1.0426,1.0079,0.3492
10274.5000,9.5969,95.6842,91.5662,38.2365,18.8796,0.9551,0.9550,0.3552
10275.0000,9.1876,96.1239,90.6073,40.4189,22.2870,0.8943,0.9075,0.3632
10275.5000,9.2605,97.4998,91.6713,42.2403,23.4456,0.8708,0.8599,0.3667
10276.0000,9.7046,102.2580,94.0839,41.6956,23.1050,0.8566,0.8223,0.3670
10276.5000,9.6505,105.4340,98.9122,42.5216,24.1922,0.7786,0.7993,0.3637
10277.0000,9.5617,106.5990,104.3445,44.5225,24.3992,0.6847,0.7764,0.3580
10277.5000,9.4209,105.3360,101.6443,46.6976,26.7880,0.7556,0.7535,0.3461
10278.0000,9.2801,100.2142,96.9109,46.4860,29.1725,1.0684,0.7136,0.3255
10278.5000,8.8168,95.2610,80.4951,44.6832,28.6285,2.3625,0.6623,0.2786
10279.0000,8.3534,92.2834,63.3910,29.9796,28.0845,3.2471,0.6652,0.2422
10279.5000,8.3303,89.3059,52.5188,25.8602,27.7652,3.3200,0.6680,0.2302
10280.0000,8.3072,87.8696,47.7282,24.2065,28.3448,3.0391,0.6667,0.2304
10280.5000,8.2841,87.7293,47.3728,22.5528,27.4470,2.4537,0.6489,0.2337
10281.0000,8.3159,88.4530,49.9741,23.7090,23.0344,1.8683,0.6310,0.2450
10281.5000,8.3615,89.1766,57.5804,29.0799,21.7310,1.3188,0.5729,0.2616
10282.0000,8.3898,89.8874,65.2540,32.0682,15.2757,1.0437,0.5009,0.2681
10282.5000,8.3492,90.5791,64.4586,34.4609,17.6242,1.1805,0.4483,0.2612
10283.0000,8.3086,89.4892,52.8014,33.0991,19.9727,1.3007,0.4053,0.2378
10283.5000,8.2759,87.2116,44.4173,30.7987,22.3211,1.3964,0.4004,0.2140
10284.0000,8.2753,85.0247,41.1536,28.3768,24.6696,1.4115,0.4044,0.2000
10284.5000,8.2819,83.2003,38.4386,26.8039,24.7186,1.4301,0.4216,0.1922
10285.0000,8.2993,79.7199,37.9182,25.8511,24.1927,1.6779,0.4389,0.1881
10285.5000,8.3167,75.7020,34.9132,24.8984,23.6668,1.9256,0.4562,0.1895
10286.0000,8.3342,71.4990,36.0579,21.7878,18.7660,2.5403,0.4735,0.1909
10286.5000,8.3275,69.6530,38.3953,18.1378,11.3560,4.4432,0.4908,0.1924
10287.0000,8.2848,69.9646,42.4053,18.0629,14.7403,3.6003,0.5176,0.2017
10287.5000,8.2469,76.5498,48.9242,23.3507,17.1404,2.6723,0.5506,0.2110
10288.0000,8.2163,85.1047,58.3597,26.7219,19.5405,1.4402,0.5413,0.2248
10288.5000,8.1857,95.8523,71.8985,28.8153,21.7623,0.9807,0.5014,0.2497
10289.0000,8.2202,96.3460,72.6114,30.2397,21.3089,0.8387,0.4156,0.2414
10289.5000,8.2546,93.7975,70.1632,31.2180,20.6589,0.9999,0.3582,0.2227
10290.0000,8.2617,90.3431,57.0933,32.1963,22.3538,1.3104,0.3198,0.2061
10290.5000,8.2504,84.4759,50.3617,33.1747,24.0955,1.4002,0.3030,0.1953
10291.0000,8.2392,83.4509,46.4772,28.5611,25.0556,1.1589,0.3186,0.1859
10291.5000,8.2389,82.4258,46.9274,27.4496,25.4945,0.9594,0.3341,0.1769
